latitude,longitude,elevation_m,slope_deg
22.1,94.65,191.0,1.28
22.1,94.7,159.0,0.58
22.1,94.75,144.0,0.71
22.1,94.8,127.0,0.38
22.1,94.85,110.0,0.37
22.1,94.9,101.0,0.72
22.1,94.95,109.0,1.94
22.1,95.0,127.0,1.42
22.1,95.05,102.0,1.27
22.1,95.1,74.0,0.14
22.1,95.15,75.0,1.11
22.1,95.2,87.0,0.31
22.1,95.25,117.0,0.46
22.1,95.3,271.0,3.16
22.1,95.35,255.0,0.65
22.1,95.4,220.0,1.47
22.1,95.45,173.0,0.78
22.1,95.5,155.0,0.65
22.1,95.55,116.0,0.12
22.1,95.6,96.0,0.49
22.1,95.65,71.0,0.66
22.1,95.7,96.0,0.74
22.1,95.75,114.0,0.4
22.1,95.8,147.0,1.2
22.1,95.85,88.0,0.8
22.1,95.9,82.0,0.17
22.1,95.95,83.0,0.28
22.1,96.0,69.0,1.63
22.1,96.05,70.0,0.28
22.1,96.1,71.0,0.06
22.1,96.15,85.0,0.76
22.1,96.2,96.0,0.44
22.1,96.25,371.0,9.86
22.1,96.3,493.0,20.89
22.1,96.35,459.0,26.09
22.1,96.4,872.0,17.52
22.1,96.45,1183.0,5.6
22.15,89.5,0.0,0.56
22.15,89.55,9.0,0.63
22.15,89.6,15.0,0.22
22.15,89.65,11.0,1.06
22.15,89.7,0.0,1.65
22.15,89.75,12.0,0.68
22.15,89.8,15.0,0.38
22.15,89.85,14.0,0.4
22.15,89.9,0.0,0.0
22.15,89.95,6.0,0.36
22.15,90.0,6.0,0.24
22.15,90.05,0.0,0.0
22.15,90.1,6.0,0.11
22.15,90.15,5.0,0.86
22.15,90.2,5.0,0.82
22.15,90.25,7.0,0.09
22.15,90.3,5.0,0.41
22.15,90.35,5.0,0.05
22.15,90.4,0.0,0.5
22.15,90.45,5.0,0.1
22.15,90.5,0.0,0.06
22.15,90.55,6.0,0.5
22.15,90.6,3.0,0.24
22.15,90.65,7.0,0.37
22.15,90.7,5.0,0.18
22.15,90.75,5.0,0.23
22.15,90.8,6.0,0.3
22.15,90.85,0.0,0.0
22.15,90.9,0.0,0.0
22.15,90.95,1.0,0.23
22.15,91.0,0.0,0.0
22.15,91.05,4.0,0.42
22.15,91.1,4.0,0.21
22.15,91.15,0.0,0.2
22.15,91.2,0.0,0.0
22.15,91.25,0.0,0.0
22.15,91.3,0.0,0.0
22.15,91.35,0.0,0.0
22.15,91.4,0.0,0.0
22.15,91.45,0.0,0.0
22.15,91.5,0.0,0.0
22.15,91.55,0.0,0.0
22.15,91.6,0.0,0.0
22.15,91.65,0.0,0.0
22.15,91.7,0.0,0.0
22.15,91.75,0.0,0.0
22.15,91.8,0.0,0.0
22.15,91.85,0.0,0.63
22.15,91.9,6.0,0.26
22.15,91.95,13.0,1.22
22.15,92.0,7.0,0.44
22.15,92.05,7.0,0.29
22.15,92.1,10.0,0.29
22.15,92.15,15.0,1.17
22.15,92.2,100.0,6.64
22.15,92.25,95.0,2.06
22.15,92.3,130.0,6.34
22.15,92.35,125.0,4.23
22.15,92.4,190.0,6.28
22.15,92.45,128.0,12.09
22.15,92.5,521.0,17.52
22.15,92.55,420.0,19.57
22.15,92.6,277.0,11.89
22.15,92.65,186.0,2.23
22.15,92.7,257.0,7.74
22.15,92.75,106.0,3.54
22.15,92.8,298.0,5.66
22.15,92.85,436.0,19.86
22.15,92.9,559.0,24.27
22.15,92.95,933.0,16.2
22.15,93.0,738.0,13.16
22.15,93.05,592.0,22.85
22.15,93.1,1167.0,19.34
22.15,93.15,1171.0,31.37
22.15,93.2,542.0,2.81
22.15,93.25,1054.0,27.58
22.15,93.3,1242.0,25.08
22.15,93.35,804.0,17.46
22.15,93.4,1315.0,22.83
22.15,93.45,1061.0,26.38
22.15,93.5,1086.0,31.0
22.15,93.55,1197.0,30.16
22.15,93.6,1322.0,24.42
22.15,93.65,1718.0,31.69
22.15,93.7,1089.0,19.6
22.15,93.75,1174.0,17.59
22.15,93.8,974.0,18.33
22.15,93.85,564.0,13.79
22.15,93.9,392.0,0.22
22.15,93.95,521.0,6.46
22.15,94.0,354.0,1.04
22.15,94.05,308.0,4.07
22.15,94.1,195.0,0.22
22.15,94.15,221.0,4.31
22.15,94.2,493.0,8.55
22.15,94.25,609.0,9.9
22.15,94.3,899.0,4.07
22.15,94.35,794.0,2.05
22.15,94.4,996.0,11.13
22.15,94.45,547.0,13.05
22.15,94.5,566.0,2.16
22.15,94.55,374.0,4.09
22.15,94.6,455.0,12.97
22.15,94.65,228.0,1.39
22.15,94.7,165.0,1.03
22.15,94.75,149.0,1.42
22.15,94.8,125.0,0.18
22.15,94.85,132.0,0.91
22.15,94.9,126.0,1.2
22.15,94.95,99.0,0.45
22.15,95.0,96.0,1.14
22.15,95.05,74.0,0.43
22.15,95.1,74.0,1.21
22.15,95.15,82.0,0.22
22.15,95.2,96.0,0.63
22.15,95.25,111.0,0.89
22.15,95.3,177.0,0.32
22.15,95.35,211.0,1.87
22.15,95.4,231.0,1.24
22.15,95.45,197.0,1.53
22.15,95.5,149.0,0.3
22.15,95.55,119.0,0.63
22.15,95.6,91.0,0.33
22.15,95.65,85.0,1.25
22.15,95.7,78.0,0.56
22.15,95.75,81.0,0.52
22.15,95.8,115.0,1.01
22.15,95.85,89.0,0.4
22.15,95.9,81.0,0.06
22.15,95.95,85.0,0.24
22.15,96.0,64.0,0.0
22.15,96.05,69.0,0.11
22.15,96.1,71.0,0.27
22.15,96.15,80.0,0.26
22.15,96.2,103.0,0.6
22.15,96.25,175.0,5.86
22.15,96.3,386.0,26.76
22.15,96.35,429.0,24.78
22.15,96.4,1139.0,8.49
22.15,96.45,1293.0,2.28
22.2,89.5,11.0,0.65
22.2,89.55,0.0,0.0
22.2,89.6,14.0,0.29
22.2,89.65,15.0,0.62
22.2,89.7,2.0,1.85
22.2,89.75,12.0,1.7
22.2,89.8,15.0,0.09
22.2,89.85,12.0,0.24
22.2,89.9,5.0,0.14
22.2,89.95,6.0,0.51
22.2,90.0,8.0,0.31
22.2,90.05,4.0,0.4
22.2,90.1,5.0,0.86
22.2,90.15,9.0,0.61
22.2,90.2,5.0,0.51
22.2,90.25,5.0,0.48
22.2,90.3,6.0,0.72
22.2,90.35,7.0,0.14
22.2,90.4,9.0,0.49
22.2,90.45,4.0,0.37
22.2,90.5,7.0,0.19
22.2,90.55,0.0,0.0
22.2,90.6,8.0,0.14
22.2,90.65,3.0,0.47
22.2,90.7,4.0,0.07
22.2,90.75,6.0,0.61
22.2,90.8,4.0,0.43
22.2,90.85,0.0,0.0
22.2,90.9,0.0,0.0
22.2,90.95,5.0,0.46
22.2,91.0,0.0,0.0
22.2,91.05,0.0,0.0
22.2,91.1,4.0,0.35
22.2,91.15,4.0,0.28
22.2,91.2,0.0,0.0
22.2,91.25,0.0,0.0
22.2,91.3,0.0,0.0
22.2,91.35,0.0,0.0
22.2,91.4,0.0,0.0
22.2,91.45,0.0,0.0
22.2,91.5,0.0,0.0
22.2,91.55,0.0,0.0
22.2,91.6,0.0,0.0
22.2,91.65,0.0,0.0
22.2,91.7,0.0,0.0
22.2,91.75,0.0,0.0
22.2,91.8,0.0,0.0
22.2,91.85,5.0,0.35
22.2,91.9,7.0,0.47
22.2,91.95,5.0,0.41
22.2,92.0,4.0,0.2
22.2,92.05,12.0,0.37
22.2,92.1,58.0,5.54
22.2,92.15,19.0,0.19
22.2,92.2,140.0,5.88
22.2,92.25,51.0,3.37
22.2,92.3,59.0,5.19
22.2,92.35,80.0,8.33
22.2,92.4,211.0,6.57
22.2,92.45,333.0,4.25
22.2,92.5,303.0,7.24
22.2,92.55,239.0,13.37
22.2,92.6,233.0,2.37
22.2,92.65,182.0,5.53
22.2,92.7,358.0,13.4
22.2,92.75,266.0,6.93
22.2,92.8,631.0,18.28
22.2,92.85,241.0,10.32
22.2,92.9,352.0,7.61
22.2,92.95,803.0,33.08
22.2,93.0,658.0,11.49
22.2,93.05,534.0,23.21
22.2,93.1,1196.0,17.05
22.2,93.15,665.0,27.86
22.2,93.2,1074.0,25.47
22.2,93.25,1497.0,24.36
22.2,93.3,2191.0,9.93
22.2,93.35,886.0,13.74
22.2,93.4,699.0,14.17
22.2,93.45,994.0,19.43
22.2,93.5,1936.0,4.6
22.2,93.55,1572.0,23.73
22.2,93.6,1198.0,21.35
22.2,93.65,1848.0,22.38
22.2,93.7,1123.0,18.25
22.2,93.75,1068.0,22.93
22.2,93.8,886.0,26.06
22.2,93.85,494.0,16.69
22.2,93.9,398.0,6.51
22.2,93.95,413.0,16.7
22.2,94.0,331.0,1.54
22.2,94.05,237.0,2.52
22.2,94.1,194.0,0.4
22.2,94.15,241.0,2.95
22.2,94.2,497.0,14.93
22.2,94.25,605.0,9.21
22.2,94.3,765.0,6.33
22.2,94.35,868.0,5.76
22.2,94.4,1003.0,13.54
22.2,94.45,517.0,5.15
22.2,94.5,572.0,6.01
22.2,94.55,445.0,8.92
22.2,94.6,225.0,2.08
22.2,94.65,193.0,1.82
22.2,94.7,162.0,0.75
22.2,94.75,160.0,0.65
22.2,94.8,155.0,0.45
22.2,94.85,191.0,2.03
22.2,94.9,196.0,12.39
22.2,94.95,129.0,0.86
22.2,95.0,108.0,1.23
22.2,95.05,86.0,1.04
22.2,95.1,73.0,0.11
22.2,95.15,80.0,0.64
22.2,95.2,113.0,0.6
22.2,95.25,137.0,1.46
22.2,95.3,194.0,1.75
22.2,95.35,225.0,1.37
22.2,95.4,211.0,0.71
22.2,95.45,175.0,1.13
22.2,95.5,137.0,0.52
22.2,95.55,112.0,0.39
22.2,95.6,85.0,0.69
22.2,95.65,83.0,0.92
22.2,95.7,80.0,0.24
22.2,95.75,84.0,0.31
22.2,95.8,119.0,1.09
22.2,95.85,113.0,0.6
22.2,95.9,98.0,0.56
22.2,95.95,87.0,0.51
22.2,96.0,72.0,0.24
22.2,96.05,71.0,0.06
22.2,96.1,75.0,0.7
22.2,96.15,82.0,0.23
22.2,96.2,93.0,0.45
22.2,96.25,130.0,0.63
22.2,96.3,142.0,0.45
22.2,96.35,575.0,24.08
22.2,96.4,797.0,15.01
22.2,96.45,1203.0,0.8
22.25,89.5,10.0,0.33
22.25,89.55,11.0,0.43
22.25,89.6,9.0,1.67
22.25,89.65,7.0,0.2
22.25,89.7,10.0,0.53
22.25,89.75,18.0,0.38
22.25,89.8,3.0,0.92
22.25,89.85,0.0,0.0
22.25,89.9,12.0,0.67
22.25,89.95,4.0,0.64
22.25,90.0,4.0,0.57
22.25,90.05,4.0,0.36
22.25,90.1,4.0,0.29
22.25,90.15,5.0,0.41
22.25,90.2,8.0,0.44
22.25,90.25,5.0,0.18
22.25,90.3,5.0,0.24
22.25,90.35,5.0,0.28
22.25,90.4,0.0,0.81
22.25,90.45,8.0,0.08
22.25,90.5,4.0,0.36
22.25,90.55,5.0,0.24
22.25,90.6,0.0,0.0
22.25,90.65,0.0,0.0
22.25,90.7,3.0,0.22
22.25,90.75,9.0,0.43
22.25,90.8,6.0,0.17
22.25,90.85,0.0,0.0
22.25,90.9,2.0,0.48
22.25,90.95,0.0,0.0
22.25,91.0,0.0,0.0
22.25,91.05,0.0,0.0
22.25,91.1,5.0,0.22
22.25,91.15,3.0,0.35
22.25,91.2,0.0,0.0
22.25,91.25,0.0,0.0
22.25,91.3,0.0,0.0
22.25,91.35,0.0,0.0
22.25,91.4,0.0,0.0
22.25,91.45,0.0,0.0
22.25,91.5,0.0,0.0
22.25,91.55,0.0,0.0
22.25,91.6,0.0,0.0
22.25,91.65,0.0,0.0
22.25,91.7,0.0,0.0
22.25,91.75,0.0,0.0
22.25,91.8,6.0,0.41
22.25,91.85,23.0,0.42
22.25,91.9,2.0,0.42
22.25,91.95,5.0,0.26
22.25,92.0,7.0,0.27
22.25,92.05,25.0,1.01
22.25,92.1,67.0,4.72
22.25,92.15,22.0,1.26
22.25,92.2,77.0,2.48
22.25,92.25,82.0,5.21
22.25,92.3,98.0,0.91
22.25,92.35,124.0,7.61
22.25,92.4,249.0,11.83
22.25,92.45,368.0,16.67
22.25,92.5,165.0,10.61
22.25,92.55,388.0,23.38
22.25,92.6,227.0,9.48
22.25,92.65,154.0,3.18
22.25,92.7,363.0,15.97
22.25,92.75,262.0,12.67
22.25,92.8,256.0,10.71
22.25,92.85,293.0,16.53
22.25,92.9,271.0,12.57
22.25,92.95,834.0,27.48
22.25,93.0,802.0,17.36
22.25,93.05,971.0,20.95
22.25,93.1,1428.0,25.2
22.25,93.15,442.0,5.68
22.25,93.2,646.0,17.86
22.25,93.25,1744.0,28.42
22.25,93.3,1849.0,27.26
22.25,93.35,1095.0,32.33
22.25,93.4,1392.0,15.4
22.25,93.45,1631.0,16.45
22.25,93.5,1775.0,16.04
22.25,93.55,2407.0,16.41
22.25,93.6,1442.0,19.3
22.25,93.65,1511.0,27.67
22.25,93.7,1161.0,11.07
22.25,93.75,1133.0,20.23
22.25,93.8,876.0,22.99
22.25,93.85,749.0,2.31
22.25,93.9,499.0,5.95
22.25,93.95,305.0,4.32
22.25,94.0,325.0,2.8
22.25,94.05,272.0,1.39
22.25,94.1,237.0,0.68
22.25,94.15,207.0,3.0
22.25,94.2,652.0,9.74
22.25,94.25,807.0,17.92
22.25,94.3,819.0,4.78
22.25,94.35,808.0,15.24
22.25,94.4,1070.0,11.44
22.25,94.45,514.0,0.66
22.25,94.5,563.0,6.32
22.25,94.55,583.0,1.11
22.25,94.6,362.0,5.18
22.25,94.65,200.0,1.68
22.25,94.7,200.0,0.58
22.25,94.75,187.0,1.21
22.25,94.8,213.0,1.36
22.25,94.85,214.0,0.49
22.25,94.9,153.0,0.81
22.25,94.95,138.0,3.26
22.25,95.0,89.0,0.8
22.25,95.05,76.0,1.93
22.25,95.1,92.0,0.62
22.25,95.15,94.0,0.16
22.25,95.2,120.0,0.5
22.25,95.25,151.0,1.45
22.25,95.3,195.0,1.67
22.25,95.35,227.0,0.83
22.25,95.4,206.0,1.26
22.25,95.45,176.0,0.9
22.25,95.5,138.0,0.79
22.25,95.55,97.0,0.67
22.25,95.6,79.0,0.65
22.25,95.65,81.0,0.03
22.25,95.7,81.0,0.01
22.25,95.75,85.0,0.27
22.25,95.8,86.0,0.17
22.25,95.85,110.0,0.52
22.25,95.9,98.0,0.28
22.25,95.95,96.0,0.07
22.25,96.0,73.0,1.07
22.25,96.05,71.0,0.15
22.25,96.1,74.0,0.86
22.25,96.15,79.0,1.77
22.25,96.2,92.0,1.4
22.25,96.25,96.0,0.53
22.25,96.3,204.0,4.76
22.25,96.35,214.0,4.5
22.25,96.4,951.0,3.99
22.25,96.45,1090.0,7.11
22.3,89.5,10.0,0.14
22.3,89.55,11.0,1.19
22.3,89.6,0.0,1.07
22.3,89.65,8.0,0.6
22.3,89.7,15.0,0.48
22.3,89.75,10.0,0.46
22.3,89.8,7.0,0.65
22.3,89.85,5.0,1.01
22.3,89.9,7.0,0.92
22.3,89.95,3.0,0.61
22.3,90.0,3.0,0.22
22.3,90.05,4.0,0.52
22.3,90.1,5.0,1.37
22.3,90.15,4.0,0.72
22.3,90.2,0.0,0.71
22.3,90.25,8.0,0.33
22.3,90.3,5.0,0.71
22.3,90.35,5.0,0.31
22.3,90.4,7.0,0.46
22.3,90.45,5.0,0.21
22.3,90.5,3.0,0.07
22.3,90.55,8.0,0.46
22.3,90.6,6.0,0.12
22.3,90.65,2.0,0.49
22.3,90.7,8.0,0.61
22.3,90.75,7.0,0.38
22.3,90.8,4.0,0.33
